Record Index,Status,JumpTo,Cycle,Step,Cur(mA),Voltage(V),CapaCity(mAh),Energy(Wh),Relative Time(min),Absolute Time
1,Rest,1,1,1,0.0000,2.1087,0.0000,0.0000000,0.000,03/07/2023 08:59:43
2,Rest,1,1,1,0.0000,2.1093,0.0000,0.0000000,2.000,03/07/2023 09:01:43
3,Rest,1,1,1,0.0000,2.1099,0.0000,0.0000000,4.000,03/07/2023 09:03:43
4,Rest,1,1,1,0.0000,2.1106,0.0000,0.0000000,6.000,03/07/2023 09:05:43
5,Rest,1,1,1,0.0000,2.1112,0.0000,0.0000000,8.000,03/07/2023 09:07:43
6,Rest,1,1,1,0.0000,2.1118,0.0000,0.0000000,10.000,03/07/2023 09:09:43
7,Rest,1,1,1,0.0000,2.1127,0.0000,0.0000000,12.000,03/07/2023 09:11:43
8,Rest,1,1,1,0.0000,2.1137,0.0000,0.0000000,14.000,03/07/2023 09:13:43
9,Rest,1,1,1,0.0000,2.1146,0.0000,0.0000000,16.000,03/07/2023 09:15:43
10,Rest,1,1,1,0.0000,2.1158,0.0000,0.0000000,18.000,03/07/2023 09:17:43
11,Rest,1,1,1,0.0000,2.1171,0.0000,0.0000000,20.000,03/07/2023 09:19:43
12,Rest,1,1,1,0.0000,2.1183,0.0000,0.0000000,22.000,03/07/2023 09:21:43
13,Rest,1,1,1,0.0000,2.1192,0.0000,0.0000000,24.000,03/07/2023 09:23:43
14,Rest,1,1,1,0.0000,2.1205,0.0000,0.0000000,26.000,03/07/2023 09:25:43
15,Rest,1,1,1,0.0000,2.1220,0.0000,0.0000000,28.000,03/07/2023 09:27:43
16,Rest,1,1,1,0.0000,2.1233,0.0000,0.0000000,30.000,03/07/2023 09:29:43
17,Rest,1,1,1,0.0000,2.1251,0.0000,0.0000000,32.000,03/07/2023 09:31:43
18,Rest,1,1,1,0.0000,2.1264,0.0000,0.0000000,34.000,03/07/2023 09:33:43
19,Rest,1,1,1,0.0000,2.1279,0.0000,0.0000000,36.000,03/07/2023 09:35:43
20,Rest,1,1,1,0.0000,2.1295,0.0000,0.0000000,38.000,03/07/2023 09:37:43
21,Rest,1,1,1,0.0000,2.1310,0.0000,0.0000000,40.000,03/07/2023 09:39:43
22,Rest,1,1,1,0.0000,2.1329,0.0000,0.0000000,42.000,03/07/2023 09:41:43
23,Rest,1,1,1,0.0000,2.1344,0.0000,0.0000000,44.000,03/07/2023 09:43:43
24,Rest,1,1,1,0.0000,2.1360,0.0000,0.0000000,46.000,03/07/2023 09:45:43
25,Rest,1,1,1,0.0000,2.1378,0.0000,0.0000000,48.000,03/07/2023 09:47:43
26,Rest,1,1,1,0.0000,2.1397,0.0000,0.0000000,50.000,03/07/2023 09:49:43
27,Rest,1,1,1,0.0000,2.1416,0.0000,0.0000000,52.000,03/07/2023 09:51:43
28,Rest,1,1,1,0.0000,2.1434,0.0000,0.0000000,54.000,03/07/2023 09:53:43
29,Rest,1,1,1,0.0000,2.1453,0.0000,0.0000000,56.000,03/07/2023 09:55:43
30,Rest,1,1,1,0.0000,2.1468,0.0000,0.0000000,58.000,03/07/2023 09:57:43
31,Rest,1,1,1,0.0000,2.1490,0.0000,0.0000000,60.000,03/07/2023 09:59:43
